,protein_A,protein_B,distance
211,MED17,MED20,1.7042568724288603
212,MED17,MED21,1.7386843472194786
213,MED17,MED22,1.5409147709072706
214,MED17,MED23,10.135976815285254
215,MED17,MED24,4.830922272196076
216,MED17,MED25,49.710173375276014
217,MED17,MED27,1.395531847345186
218,MED17,MED28,1.9140859437339939
219,MED17,MED29,17.71636164679419
220,MED17,MED30,1.6287532041411217
221,MED17,MED31,5.424146292274962
222,MED18,MED19,135.87442869429114
223,MED18,MED20,1.735599032034765
224,MED18,MED21,66.17177273581235
225,MED18,MED22,2.300427134251379
226,MED18,MED23,63.12863811298324
227,MED18,MED24,80.36835718739061
228,MED18,MED25,112.12625032078793
229,MED18,MED27,6.470443802398728
230,MED18,MED28,16.26595481365911
231,MED18,MED29,42.68194107582269
232,MED18,MED30,9.185659584373953
233,MED18,MED31,59.07886275987375
234,MED19,MED20,167.22678183233694
235,MED19,MED21,14.010528541065113
236,MED19,MED22,75.8464421116772
237,MED19,MED23,201.76495942556525
238,MED19,MED24,192.01566095764167
239,MED19,MED25,275.8945753109328
240,MED19,MED27,161.63150287304757
241,MED19,MED28,137.98327193540524
242,MED19,MED29,193.44518991435274
243,MED19,MED30,150.17018579598283
244,MED19,MED31,47.53545330592729
245,MED20,MED21,81.5397397898718
246,MED20,MED22,29.29716907825733
247,MED20,MED23,27.31335308965197
248,MED20,MED24,47.99737429472417
249,MED20,MED25,84.37415851432239
250,MED20,MED27,1.7099640347095153
251,MED20,MED28,33.06378828448392
252,MED20,MED29,34.04842811093632
253,MED20,MED30,24.552407723072722
254,MED20,MED31,88.28549295325931
255,MED21,MED22,60.949246804205885
256,MED21,MED23,91.46772599665961
257,MED21,MED24,80.35358558894559
258,MED21,MED25,173.2893509422896
259,MED21,MED27,72.64557575654557
260,MED21,MED28,59.06193952961585
261,MED21,MED29,109.75172987702744
262,MED21,MED30,58.705711561993695
263,MED21,MED31,10.138018248158756
264,MED22,MED23,39.91878263264577
265,MED22,MED24,36.435360558117175
266,MED22,MED25,101.19174010757992
267,MED22,MED27,1.8009262390535012
268,MED22,MED28,1.7870223837434087
269,MED22,MED29,30.786419733382477
270,MED22,MED30,1.7440725328952857
271,MED22,MED31,26.70654926125682
272,MED23,MED24,1.4651149964762642
273,MED23,MED25,1.9865570719211916
274,MED23,MED27,20.37358628224301
275,MED23,MED28,37.19754520126295
276,MED23,MED29,38.8511199709867
277,MED23,MED30,31.776710056266023
278,MED23,MED31,118.64531368326354
279,MED24,MED25,19.39858677459021
280,MED24,MED27,25.524808187330205
281,MED24,MED28,28.276344335857836
282,MED24,MED29,43.46207573275808
283,MED24,MED30,21.872155837959795
284,MED24,MED31,113.50923146158642
285,MED25,MED27,26.05966722734578
286,MED25,MED28,51.195879625284725
287,MED25,MED29,12.174595722240621
288,MED25,MED30,75.80120696268631
289,MED25,MED31,186.74076373946852
290,MED27,MED28,1.6845394029229654
291,MED27,MED29,1.7107287064995542
292,MED27,MED30,1.9161975367899442
293,MED27,MED31,72.57707700782667
294,MED28,MED29,1.8856136932044039
295,MED28,MED30,1.7051199371305301
296,MED28,MED31,48.341017614444176
297,MED29,MED30,1.7631400935581074
298,MED29,MED31,106.69208841802657
299,MED30,MED31,61.91040178354522
